DateTime,co2_concentration,air_temperature,relative_humidity,apt_no,room_no,kitchen,livingroom,bedroom,office,kitchen_livingroom,room_type,floor_area,Hour of the day,Day number of the week,window_opening_gt,occupancy_ground_truth
30-01-23 13:30,795.4614,21.0869,37.897184,1,1,0,0,1,0,0,1,16,13,1,0,0
30-01-23 13:35,788.0373,21.07695,37.823192,1,1,0,0,1,0,0,1,16,13,1,0,0
30-01-23 13:40,813.6092,21.0869,37.887935,1,1,0,0,1,0,0,1,16,13,1,0,0
30-01-23 13:45,787.2124,21.07695,37.84169,1,1,0,0,1,0,0,1,16,13,1,0,0
30-01-23 13:50,778.1385,21.0869,37.84169,1,1,0,0,1,0,0,1,16,13,1,0,0
30-01-23 13:55,837.5313,21.07695,37.952678,1,1,0,0,1,0,0,1,16,13,1,0,0
30-01-23 14:00,806.1851,21.11675,37.971176,1,1,0,0,1,0,0,1,16,14,1,0,0
30-01-23 14:05,791.3369,21.1068,37.971176,1,1,0,0,1,0,0,1,16,14,1,0,0
30-01-23 14:10,812.7843,21.1068,38.045168,1,1,0,0,1,0,0,1,16,14,1,0,0
30-01-23 14:15,810.3096,21.0869,38.387381,1,1,0,0,1,0,0,1,16,14,1,0,0
30-01-23 14:20,,,,1,1,0,0,1,0,0,1,16,14,1,0,0
30-01-23 14:25,823.508,21.1068,39.025562,1,1,0,0,1,0,0,1,16,14,1,0,0
30-01-23 14:30,848.255,21.11675,39.062558,1,1,0,0,1,0,0,1,16,14,1,0,0
30-01-23 14:35,818.5586,21.09685,38.997815,1,1,0,0,1,0,0,1,16,14,1,0,0
30-01-23 14:40,822.6831,21.11675,39.016313,1,1,0,0,1,0,0,1,16,14,1,0,0
30-01-23 14:45,840.006,21.0869,38.95157,1,1,0,0,1,0,0,1,16,14,1,0,0
30-01-23 14:50,822.6831,21.09685,38.942321,1,1,0,0,1,0,0,1,16,14,1,0,0
30-01-23 14:55,819.3835,21.0869,38.970068,1,1,0,0,1,0,0,1,16,14,1,0,0
30-01-23 15:00,835.8815,21.11675,38.896076,1,1,0,0,1,0,0,1,16,15,1,0,0
30-01-23 15:05,834.2317,21.09685,38.933072,1,1,0,0,1,0,0,1,16,15,1,0,0
30-01-23 15:10,806.1851,21.1068,38.914574,1,1,0,0,1,0,0,1,16,15,1,0,0
30-01-23 15:15,846.6052,21.09685,38.933072,1,1,0,0,1,0,0,1,16,15,1,0,0
30-01-23 15:20,,,,1,1,0,0,1,0,0,1,16,15,1,0,0
30-01-23 15:25,810.3096,21.11675,38.76659,1,1,0,0,1,0,0,1,16,15,1,0,0
30-01-23 15:30,807.8349,21.0869,38.683349,1,1,0,0,1,0,0,1,16,15,1,0,0
30-01-23 15:35,796.2863,21.0869,38.664851,1,1,0,0,1,0,0,1,16,15,1,0,0
30-01-23 15:40,783.0879,21.07695,38.58161,1,1,0,0,1,0,0,1,16,15,1,0,0
30-01-23 15:45,772.3642,21.067,38.461373,1,1,0,0,1,0,0,1,16,15,1,0,0
30-01-23 15:50,783.9128,21.09685,38.378132,1,1,0,0,1,0,0,1,16,15,1,0,0
30-01-23 15:55,811.9594,21.0471,38.387381,1,1,0,0,1,0,0,1,16,15,1,0,0
30-01-23 16:00,779.7883,21.05705,38.39663,1,1,0,0,1,0,0,1,16,16,1,0,0
30-01-23 16:05,797.9361,21.067,38.452124,1,1,0,0,1,0,0,1,16,16,1,0,0
30-01-23 16:10,768.2397,21.0471,38.452124,1,1,0,0,1,0,0,1,16,16,1,0,0
30-01-23 16:15,779.7883,21.05705,38.572361,1,1,0,0,1,0,0,1,16,16,1,0,0
30-01-23 16:20,,,,1,1,0,0,1,0,0,1,16,16,1,0,0
30-01-23 16:25,800.4108,21.07695,38.822084,1,1,0,0,1,0,0,1,16,16,1,0,0
30-01-23 16:30,807.8349,21.07695,38.914574,1,1,0,0,1,0,0,1,16,16,1,0,0
